GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10171274.0,9932032.0,98.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,DTPCV3,"DTP-containing vaccine, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10171274.0,9570338.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10206298.0,3636662.0,36.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,HEPB3,"HepB, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10171274.0,9213813.0,91.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,HIB3,"Hib, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10171274.0,9470690.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10171274.0,9501876.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11133070.0,10124948.0,91.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,PCV3,"Pneumococcal conjugate vaccine, final dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10171274.0,8833490.0,87.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,POL3,"Polio, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10171274.0,9503067.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,6139462.0,3970338.0,65.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,PRHPV1_M,"HPV Vaccination program coverage, first dose, males",HPV,HPV Estimates,6494292.0,2817685.0,43.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,PRHPVC_F,"HPV Vaccination program coverage, last dose, females",HPV,HPV Estimates,6139462.0,3148440.0,51.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,PRHPVC_M,"HPV Vaccination program coverage, last dose, males",HPV,HPV Estimates,6494292.0,2208940.0,34.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10171274.0,9501876.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2022.0,ROTAC,"Rotavirus, last dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10171274.0,5924243.0,58.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,15HPV1_F,"HPV Vaccination coverage by age 15, first dose, females",HPV,HPV Estimates,6026760.0,4110094.0,68.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,15HPV1_M,"HPV Vaccination coverage by age 15, first dose, males",HPV,HPV Estimates,6382883.0,2582094.0,40.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,15HPVC_F,"HPV Vaccination coverage by age 15, last dose, females",HPV,HPV Estimates,6026760.0,3587450.0,60.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,15HPVC_M,"HPV Vaccination coverage by age 15, last dose, males",HPV,HPV Estimates,6382883.0,2214147.0,35.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,BCG,BCG,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2003913.0,1799880.0,90.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10350950.0,10069732.0,97.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,DTPCV3,"DTP-containing vaccine, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10350950.0,9751278.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10386569.0,3489145.0,34.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,HEPB3,"HepB, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10350950.0,9335623.0,90.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,HIB3,"Hib, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10350950.0,9625248.0,93.0
