GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,CASES
WHO_REGIONS,AFR,African Region,2018.0,TYPHOID,Typhoid,1894.0
WHO_REGIONS,AFR,African Region,2018.0,YFEVER,Yellow fever,734.0
WHO_REGIONS,AFR,African Region,2017.0,CRS,Congenital rubella syndrome,24.0
WHO_REGIONS,AFR,African Region,2017.0,DIPHTHERIA,Diphtheria,118.0
WHO_REGIONS,AFR,African Region,2017.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2017.0,MEASLES,Measles,72603.0
WHO_REGIONS,AFR,African Region,2017.0,MUMPS,Mumps,41490.0
WHO_REGIONS,AFR,African Region,2017.0,NTETANUS,Neonatal tetanus,979.0
WHO_REGIONS,AFR,African Region,2017.0,PERTUSSIS,Pertussis,7082.0
WHO_REGIONS,AFR,African Region,2017.0,POLIO,Poliomyelitis,22.0
WHO_REGIONS,AFR,African Region,2017.0,RUBELLA,Rubella,6166.0
WHO_REGIONS,AFR,African Region,2017.0,TTETANUS,Total tetanus,2791.0
WHO_REGIONS,AFR,African Region,2017.0,YFEVER,Yellow fever,53.0
WHO_REGIONS,AFR,African Region,2016.0,CRS,Congenital rubella syndrome,14.0
WHO_REGIONS,AFR,African Region,2016.0,DIPHTHERIA,Diphtheria,2870.0
WHO_REGIONS,AFR,African Region,2016.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2016.0,MEASLES,Measles,36269.0
WHO_REGIONS,AFR,African Region,2016.0,MUMPS,Mumps,100576.0
WHO_REGIONS,AFR,African Region,2016.0,NTETANUS,Neonatal tetanus,1183.0
WHO_REGIONS,AFR,African Region,2016.0,PERTUSSIS,Pertussis,1435.0
WHO_REGIONS,AFR,African Region,2016.0,POLIO,Poliomyelitis,5.0
WHO_REGIONS,AFR,African Region,2016.0,RUBELLA,Rubella,4157.0
WHO_REGIONS,AFR,African Region,2016.0,TTETANUS,Total tetanus,5787.0
WHO_REGIONS,AFR,African Region,2016.0,YFEVER,Yellow fever,1040.0
WHO_REGIONS,AFR,African Region,2015.0,CRS,Congenital rubella syndrome,78.0
WHO_REGIONS,AFR,African Region,2015.0,DIPHTHERIA,Diphtheria,1654.0
WHO_REGIONS,AFR,African Region,2015.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2015.0,MEASLES,Measles,52758.0
WHO_REGIONS,AFR,African Region,2015.0,MUMPS,Mumps,28492.0
WHO_REGIONS,AFR,African Region,2015.0,NTETANUS,Neonatal tetanus,1289.0
WHO_REGIONS,AFR,African Region,2015.0,PERTUSSIS,Pertussis,7565.0
WHO_REGIONS,AFR,African Region,2015.0,POLIO,Poliomyelitis,18.0
WHO_REGIONS,AFR,African Region,2015.0,RUBELLA,Rubella,5302.0
WHO_REGIONS,AFR,African Region,2015.0,TTETANUS,Total tetanus,3529.0
WHO_REGIONS,AFR,African Region,2015.0,YFEVER,Yellow fever,35.0
WHO_REGIONS,AFR,African Region,2014.0,CRS,Congenital rubella syndrome,14.0
WHO_REGIONS,AFR,African Region,2014.0,DIPHTHERIA,Diphtheria,1.0
WHO_REGIONS,AFR,African Region,2014.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2014.0,MEASLES,Measles,73914.0
WHO_REGIONS,AFR,African Region,2014.0,MUMPS,Mumps,7.0
WHO_REGIONS,AFR,African Region,2014.0,NTETANUS,Neonatal tetanus,835.0
WHO_REGIONS,AFR,African Region,2014.0,PERTUSSIS,Pertussis,10098.0
WHO_REGIONS,AFR,African Region,2014.0,POLIO,Poliomyelitis,19.0
WHO_REGIONS,AFR,African Region,2014.0,RUBELLA,Rubella,7402.0
WHO_REGIONS,AFR,African Region,2014.0,TTETANUS,Total tetanus,2900.0
WHO_REGIONS,AFR,African Region,2014.0,YFEVER,Yellow fever,31.0
WHO_REGIONS,AFR,African Region,2013.0,CRS,Congenital rubella syndrome,3.0
